n,error
1,-198.806
2,-49.701
3,-22.0891
4,-12.4249
5,-7.95175
6,-5.5219
7,-4.05677
8,-3.10585
9,-2.4539
10,-1.98756
11,-1.64253
12,-1.3801
13,-1.17587
14,-1.01382
15,-29.7497
16,-0.77609
17,-0.687414
18,-24.6686
19,-23.3397
20,-0.496518
21,-0.450311
22,-20.0921
23,-0.375318
24,-0.344653
25,-0.317593
26,-0.293595
27,-16.3092
28,-15.7174
29,-0.235896
30,-14.6537
31,-14.1741
32,-0.19365
33,-0.182061
34,-12.9068
35,-12.5332
36,-12.1807
37,-11.8474
38,-0.13718
39,-11.2328
40,-0.123757
41,-0.11777
42,-0.112205
43,-0.107024
44,-9.9431
45,-0.0976789
46,-0.0934568
47,-9.30226
48,-0.0857904
49,-8.91904
50,-0.0790255
51,-0.0759375
52,-0.073026
53,-0.0702777
54,-8.0862
55,-7.93795
56,-7.79504
57,-0.0606929
58,-0.0586011
59,-7.3956
60,-0.0547269
61,-0.0529311
62,-7.03509
63,-6.92261
64,-0.0480396
65,-0.0465577
66,-6.60575
67,-6.50647
68,-0.0424974
69,-0.0412602
70,-0.0400757
71,-6.13753
72,-0.0378529
73,-5.96831
74,-5.88716
75,-0.0348463
76,-0.0339223
77,-5.65641
78,-5.58346
79,-5.51237
80,-0.0305664
81,-5.37548
82,-0.0290696
83,-5.24523
84,-5.18244
85,-5.12114
86,-0.0263832
87,-0.0257688
88,-4.94563
89,-4.88977
90,-4.83516
91,-4.78175
92,-0.0229914
93,-4.6784
94,-4.62838
95,-4.57942
96,-0.0210748
97,-4.48455
98,-4.43857
99,-0.0197873
100,-4.34938
101,-0.0189919
102,-4.26371
103,-4.22212
104,-4.18134
105,-4.14134
106,-0.0171967
107,-4.06359
108,-4.02581
109,-3.98871
110,-3.9523
111,-3.91654
112,-0.0153517
113,-3.84693
114,-3.81304
115,-0.0145356
116,-0.0142775
117,-3.71488
118,-3.68327
119,-3.6522
120,-3.62164
121,-0.0130817
122,-3.56204
123,-3.53297
124,-0.0124326
125,-0.0122266
126,-3.44853
127,-3.42128
128,-0.0116372
129,-0.0114498
130,-3.34203
131,-3.31643
132,-0.0109129
133,-0.010742
134,-3.24192
135,-3.21782
136,-0.0102516
137,-3.17068
138,-0.00994229
139,-3.1249
140,-0.00964616
141,-3.08042
142,-0.00936245
143,-0.00922503
144,-0.00909047
145,-2.99516
146,-2.97458
147,-2.95428
148,-2.93425
149,-0.00845781
150,-0.00833881
151,-2.87577
152,-0.00810782
153,-0.00799571
154,-2.81957
155,-2.80133
156,-2.78331
157,-0.00756847
158,-0.0074667
159,-0.00736684
160,-0.00726885
161,-2.69661
162,-0.00707828
163,-2.66343
164,-2.64714
165,-2.63105
166,-2.61515
167,-2.59944
168,-2.58393
169,-2.56859
170,-2.55344
171,-2.53846
172,-0.00622304
173,-0.00614558
174,-0.00606945
175,-2.48028
176,-2.46615
177,-0.00584874
178,-0.00577764
179,-2.4247
180,-2.41119
181,-2.39784
182,-2.38462
183,-2.37156
184,-2.35864
185,-0.00531178
186,-2.33321
187,-0.0051882
188,-0.00512788
189,-0.00506851
190,-2.28396
191,-2.27197
192,-2.2601
193,-0.00484021
194,-2.23674
195,-2.22524
196,-2.21386
197,-0.00462567
198,-2.19144
199,-0.00452322
200,-2.16947
201,-0.00442381
202,-0.00437521
203,-0.00432732
204,-2.12683
205,-0.00423365
206,-0.00418783
207,-0.00414268
208,-0.00409817
209,-2.07582
210,-2.06592
211,-2.0561
212,-0.0039264
213,-2.03675
214,-0.00384411
215,-0.00380382
216,-0.00376409
217,-1.99912
